RegionName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022
"Denver, CO",10580,9996,11119,12582,14367,15984,16971,17519,17574,17586,16853,15048,13547,12791,13708,14992,17056,18892,19983,20267,19939,19359,17582,14907,12705,11694,12609,13102,14958,15970,17133,16634,15702,14901,13184,11064,8985,7418,6966,6808,7541,8313,8966,9457,9606,9412,8458,6940,5598
"Colorado Springs, CO",1894,1843,2050,2380,2880,3340,3731,3909,3936,3791,3539,3163,2821,2567,2608,2798,3183,3594,3891,4045,3975,3823,3465,3047,2705,2547,2736,2862,3249,3541,3900,3938,3782,3623,3285,2876,2495,2169,2089,2072,2327,2510,2732,2909,3092,3124,2954,2563,2191
"Fort Collins, CO",2290,2122,2252,2509,2857,3113,3348,3464,3468,3502,3443,3241,2895,2635,2692,2941,3342,3456,3460,3319,3314,3205,2975,2649,2434,2303,2361,2366,2621,2843,3046,2973,2909,2776,2531,2174,1895,1817,1893,2035,2196,2301,2334,2337,2270,1935,1516,1071,995
"Boulder, CO",1426,1303,1421,1664,1967,2195,2299,2310,2263,2210,2070,1832,1629,1607,1789,2071,2406,2547,2555,2430,2380,2301,2081,1775,1543,1443,1510,1539,1734,1931,2093,2039,1952,1866,1677,1372,1105,969,976,1036,1162,1314,1405,1457,1417,1230,969,669,540
"Greeley, CO",1920,1846,2031,2293,2495,2556,2531,2537,2545,2578,2532,2368,2227,2193,2387,2594,2861,2865,2810,2728,2746,2682,2432,2133,1933,1795,1865,1893,2152,2289,2418,2347,2258,2240,2131,1987,1789,1662,1697,1746,1833,1852,1928,1990,1993,1759,1482,1183,1081
"Pueblo, CO",676,650,656,664,702,740,781,817,832,845,806,764,720,690,698,707,730,737,732,762,776,795,741,682,646,648,689,701,748,767,803,796,793,766,732,666,618,545,542,543,564,571,602,673,723,759,761,727,666
"Grand Junction, CO",766,804,876,922,981,1028,1066,1102,1080,1057,1015,954,898,863,892,948,1007,1060,1099,1112,1140,1145,1128,1039,945,886,897,908,954,971,994,973,943,922,858,747,632,553,550,538,568,595,658,734,790,828,777,678,550
"Glenwood Springs, CO",865,860,890,928,974,1031,1092,1130,1131,1087,1030,964,923,915,925,937,943,977,1027,1078,1069,1016,931,862,816,801,802,804,827,851,882,891,846,792,716,669,641,625,602,554,516,506,537,553,546,484,418,348,291
"Edwards, CO",967,977,1014,1049,1073,1121,1191,1239,1208,1136,1056,1023,1019,1029,1025,1021,1028,1103,1202,1279,1260,1172,1068,1006,967,972,1005,1029,1104,1155,1225,1211,1136,1063,947,848,747,685,607,511,437,432,456,512,532,512,442,376,326
"Durango, CO",615,562,558,602,687,755,804,826,836,815,762,685,611,558,540,565,644,746,840,881,880,852,805,747,677,628,615,611,642,668,695,679,618,546,462,387,326,269,249,246,269,296,319,335,332,307,266,214,178
"Cañon City, CO",257,259,270,281,294,363,385,400,355,362,348,327,297,282,284,298,320,339,354,377,389,385,357,333,317,308,311,311,320,319,313,300,284,270,245,228,213,213,203,186,174,173,186,203,221,232,229,202,177
"Montrose, CO",240,221,227,246,274,289,305,317,325,323,313,296,283,269,272,275,297,316,332,337,337,328,310,284,265,255,253,258,278,300,318,307,291,268,249,218,199,181,180,176,180,191,206,226,237,239,231,209,184
"Fort Morgan, CO",105,110,113,116,117,153,209,261,273,264,252,238,217,203,203,219,246,251,252,243,248,248,239,218,197,185,186,185,189,189,187,173,156,153,148,141,126,121,124,123,125,126,130,135,137,126,109,93,95
"Breckenridge, CO",260,257,272,299,339,394,437,475,473,462,422,379,332,314,317,330,358,413,492,559,580,557,495,428,372,358,369,392,433,489,548,549,487,421,348,300,256,238,236,240,258,280,298,316,320,292,253,207,177
"Steamboat Springs, CO",358,348,356,378,391,417,454,478,476,451,418,389,380,378,380,376,389,414,452,473,467,435,385,340,326,311,315,297,314,331,353,344,319,292,268,242,212,189,186,181,185,191,211,233,236,224,187,146,109
"Sterling, CO",108,100,101,106,117,132,133,128,116,115,108,98,94,95,99,104,121,130,130,124,125,124,109,95,91,97,101,91,91,89,95,97,104,106,97,82,67,59,62,61,64,68,77,85,88,82,73,61,58
"Craig, CO",120,112,110,112,121,144,160,170,163,155,139,122,107,100,101,111,126,141,155,162,169,163,152,135,123,120,127,135,151,161,176,175,174,162,145,123,105,89,81,80,77,73,69,74,80,86,82,72,56
