Date,Average List Price,SITUS_CITY,SITUS_STATE
7/1/2016,672224,DENVER,CO
8/1/2016,663229,DENVER,CO
9/1/2016,658059,DENVER,CO
10/1/2016,660494,DENVER,CO
11/1/2016,667987,DENVER,CO
12/1/2016,698910,DENVER,CO
1/1/2017,724552,DENVER,CO
2/1/2017,740052,DENVER,CO
3/1/2017,744620,DENVER,CO
4/1/2017,726134,DENVER,CO
5/1/2017,715065,DENVER,CO
6/1/2017,703091,DENVER,CO
7/1/2017,692352,DENVER,CO
8/1/2017,679540,DENVER,CO
9/1/2017,678784,DENVER,CO
10/1/2017,682673,DENVER,CO
11/1/2017,702513,DENVER,CO
12/1/2017,734102,DENVER,CO
1/1/2018,744822,DENVER,CO
2/1/2018,753738,DENVER,CO
3/1/2018,758267,DENVER,CO
4/1/2018,759255,DENVER,CO
5/1/2018,742102,DENVER,CO
6/1/2018,721096,DENVER,CO
7/1/2018,694290,DENVER,CO
8/1/2018,676140,DENVER,CO
9/1/2018,667257,DENVER,CO
10/1/2018,648474,DENVER,CO
11/1/2018,639865,DENVER,CO
12/1/2018,650498,DENVER,CO
1/1/2019,661317,DENVER,CO
2/1/2019,675430,DENVER,CO
3/1/2019,689065,DENVER,CO
4/1/2019,696137,DENVER,CO
5/1/2019,679586,DENVER,CO
6/1/2019,670909,DENVER,CO
7/1/2019,660323,DENVER,CO
8/1/2019,658699,DENVER,CO
9/1/2019,657690,DENVER,CO
10/1/2019,656004,DENVER,CO
11/1/2019,669672,DENVER,CO
12/1/2019,680171,DENVER,CO
1/1/2020,748446,DENVER,CO
2/1/2020,791748,DENVER,CO
3/1/2020,796461,DENVER,CO
4/1/2020,736906,DENVER,CO
5/1/2020,734735,DENVER,CO
6/1/2020,734420,DENVER,CO
7/1/2020,745805,DENVER,CO
8/1/2020,755974,DENVER,CO
9/1/2020,760354,DENVER,CO
10/1/2020,762124,DENVER,CO
11/1/2020,792109,DENVER,CO
12/1/2020,819898,DENVER,CO
1/1/2021,833923,DENVER,CO
2/1/2021,859898,DENVER,CO
3/1/2021,876447,DENVER,CO
4/1/2021,909671,DENVER,CO
5/1/2021,917319,DENVER,CO
6/1/2021,896291,DENVER,CO
7/1/2021,873356,DENVER,CO
8/1/2021,856645,DENVER,CO
9/1/2021,855096,DENVER,CO
10/1/2021,862422,DENVER,CO
11/1/2021,879008,DENVER,CO
12/1/2021,909868,DENVER,CO
1/1/2022,1006692,DENVER,CO
