GEO_ID,Total Population
id, !!Total:
1400000US08031000102,3622
1400000US08031000201,3913
1400000US08031000202,4042
1400000US08031000301,5779
1400000US08031000302,4412
1400000US08031000303,5479
1400000US08031000401,3174
1400000US08031000403,3682
1400000US08031000404,2956
1400000US08031000501,2014
1400000US08031000503,2269
1400000US08031000504,3648
1400000US08031000600,4742
1400000US08031000703,2603
1400000US08031000704,2715
1400000US08031000705,3134
1400000US08031000706,2872
1400000US08031000800,1127
1400000US08031000902,5345
1400000US08031000903,5780
1400000US08031000904,4711
1400000US08031000905,3269
1400000US08031001000,3683
1400000US08031001101,2743
1400000US08031001102,5274
1400000US08031001301,4834
1400000US08031001302,3759
1400000US08031001401,5935
1400000US08031001402,4048
1400000US08031001403,3374
1400000US08031001500,4580
1400000US08031001601,2995
1400000US08031001602,5167
1400000US08031001603,6613
1400000US08031001703,3487
1400000US08031001704,2383
1400000US08031001705,4401
1400000US08031001706,2449
1400000US08031001707,2478
1400000US08031001800,3306
1400000US08031001901,3903
1400000US08031002000,4053
1400000US08031002101,3078
1400000US08031002102,3114
1400000US08031002300,4975
1400000US08031002402,1971
1400000US08031002404,1415
1400000US08031002405,4526
1400000US08031002602,2835
1400000US08031002603,3250
1400000US08031002604,2097
1400000US08031002704,2423
1400000US08031002705,2675
1400000US08031002706,3286
1400000US08031002707,2996
1400000US08031002708,3011
1400000US08031002709,2284
1400000US08031002801,3217
1400000US08031002802,4708
1400000US08031002804,2209
1400000US08031002805,3784
1400000US08031002901,3839
1400000US08031002902,4211
1400000US08031003002,2749
1400000US08031003003,3188
1400000US08031003004,6308
1400000US08031003005,3144
1400000US08031003006,3644
1400000US08031003101,1701
1400000US08031003102,4082
1400000US08031003202,3429
1400000US08031003203,3100
1400000US08031003204,2159
1400000US08031003205,3196
1400000US08031003300,3329
1400000US08031003401,2998
1400000US08031003402,4860
1400000US08031003501,3238
1400000US08031003502,2727
1400000US08031003601,4236
1400000US08031003602,4337
1400000US08031003603,3583
1400000US08031003701,3746
1400000US08031003702,4759
1400000US08031003703,3276
1400000US08031003801,3666
1400000US08031003802,3970
1400000US08031003901,5266
1400000US08031003902,4606
1400000US08031004002,3448
1400000US08031004003,4408
1400000US08031004004,1968
1400000US08031004005,3751
1400000US08031004006,5373
1400000US08031004101,4802
1400000US08031004102,4081
1400000US08031004103,5494
1400000US08031004104,4519
1400000US08031004108,7604
1400000US08031004109,3284
1400000US08031004110,5541
1400000US08031004111,6848
1400000US08031004112,6127
1400000US08031004113,1756
1400000US08031004201,4906
1400000US08031004202,4467
1400000US08031004302,2699
1400000US08031004303,4341
1400000US08031004306,6092
1400000US08031004307,1988
1400000US08031004308,4132
1400000US08031004309,3633
1400000US08031004310,2347
1400000US08031004403,4274
1400000US08031004404,5887
1400000US08031004406,3965
1400000US08031004407,4941
1400000US08031004503,4303
1400000US08031004504,3881
1400000US08031004505,4549
1400000US08031004506,3610
1400000US08031004601,5666
1400000US08031004602,6688
1400000US08031004603,5324
1400000US08031004700,6172
1400000US08031004801,3077
1400000US08031005001,2869
1400000US08031005003,2744
1400000US08031005004,4687
1400000US08031005102,3506
1400000US08031005104,3470
1400000US08031005200,3338
1400000US08031005300,1859
1400000US08031005502,1868
1400000US08031005503,5071
1400000US08031006701,4282
1400000US08031006804,3776
1400000US08031006810,5928
1400000US08031006812,3932
1400000US08031006813,4550
1400000US08031006814,5409
1400000US08031006815,2017
1400000US08031006816,5511
1400000US08031006817,2048
1400000US08031006818,4221
1400000US08031006902,3638
1400000US08031006903,2475
1400000US08031007006,4431
1400000US08031007013,3730
1400000US08031007037,4128
1400000US08031007088,4921
1400000US08031007090,1542
1400000US08031007091,3497
1400000US08031008304,3846
1400000US08031008305,4253
1400000US08031008306,6005
1400000US08031008312,8133
1400000US08031008386,4664
1400000US08031008387,6220
1400000US08031008388,14773
1400000US08031008389,13336
1400000US08031008390,9000
1400000US08031008391,7855
1400000US08031011902,6682
1400000US08031011903,2304
1400000US08031012001,2047
1400000US08031012010,5121
1400000US08031012015,4014
1400000US08031012016,2659
1400000US08031015300,3697
1400000US08031015400,4487
1400000US08031015500,3399
1400000US08031015600,6618
1400000US08031015700,5907
1400000US08031015800,2893
1400000US08031980001,0
1400000US08031980100,9
1400000US08031980200,252
