,Date,Median List Price
0,2016-07-01,495000.0
1,2016-08-01,490000.0
2,2016-09-01,489450.0
3,2016-10-01,489000.0
4,2016-11-01,497000.0
5,2016-12-01,513950.0
6,2017-01-01,529258.0
7,2017-02-01,536757.0
8,2017-03-01,549000.0
9,2017-04-01,539000.0
10,2017-05-01,529500.0
11,2017-06-01,524892.0
12,2017-07-01,515000.0
13,2017-08-01,499900.0
14,2017-09-01,499900.0
15,2017-10-01,499975.0
16,2017-11-01,513012.0
17,2017-12-01,538000.0
18,2018-01-01,546570.0
19,2018-02-01,549450.0
20,2018-03-01,547495.0
21,2018-04-01,549300.0
22,2018-05-01,535750.0
23,2018-06-01,525000.0
24,2018-07-01,502498.0
25,2018-08-01,495600.0
26,2018-09-01,492400.0
27,2018-10-01,480000.0
28,2018-11-01,475000.0
29,2018-12-01,479999.0
30,2019-01-01,491950.0
31,2019-02-01,499500.0
32,2019-03-01,516143.0
33,2019-04-01,524500.0
34,2019-05-01,518938.0
35,2019-06-01,518000.0
36,2019-07-01,500000.0
37,2019-08-01,499951.0
38,2019-09-01,499450.0
39,2019-10-01,495000.0
40,2019-11-01,497500.0
41,2019-12-01,497950.0
42,2020-01-01,532249.0
43,2020-02-01,561300.0
44,2020-03-01,564950.0
45,2020-04-01,547000.0
46,2020-05-01,549000.0
47,2020-06-01,547000.0
48,2020-07-01,545050.0
49,2020-08-01,539900.0
50,2020-09-01,522450.0
51,2020-10-01,519900.0
52,2020-11-01,522500.0
53,2020-12-01,536292.0
54,2021-01-01,529000.0
55,2021-02-01,549900.0
56,2021-03-01,557500.0
57,2021-04-01,575000.0
58,2021-05-01,599000.0
59,2021-06-01,599995.0
60,2021-07-01,600000.0
61,2021-08-01,600000.0
62,2021-09-01,600000.0
63,2021-10-01,620000.0
64,2021-11-01,622135.0
65,2021-12-01,629950.0
66,2022-01-01,639900.0
